"date","nusuarios","ntrials","nusuariosnuevos","ntrialsnuevos","ntrialsservidor"
1507792905.851726,8873,2627437,0,0,2247182
1507796499.714388,8873,2627451,0,14,2247196
1507800256.978102,8873,2627451,0,0,2247196
1507803709.571868,8873,2627478,0,27,2247224
1507836364.54675,8888,2631595,15,4117,2251347
1507839821.108628,8888,2632099,0,504,2251854
1507846912.243464,8892,2633829,4,1730,2253567
1507850493.552371,8894,2634578,2,749,2254336
1507854078.440194,8898,2635102,4,524,2254861
1507857758.482273,8901,2635823,3,721,2255562
1507861362.866158,8907,2638279,6,2456,2258016
1507864926.999615,8911,2639549,4,1270,2259304
1507868516.848226,8914,2640088,3,539,2259850
1507872165.628985,8918,2640592,4,504,2260354
1507875638.918828,8919,2640672,1,80,2260434
1507879248.811366,8919,2640813,0,141,2260575
1507882840.064234,8919,2640813,0,0,2260575
1507886465.388643,8920,2640854,1,41,2260616
1507890209.395314,8920,2640996,0,142,2260753
1507893663.355439,8921,2641036,1,40,2260798
1507897266.508413,8922,2641130,1,94,2260892
1507900854.617559,8922,2641522,0,392,2261284
1507904486.762239,8924,2642542,2,1020,2262282
1507908226.828992,8926,2642812,2,270,2262572
1507911839.173074,8927,2643425,1,613,2263055
1507915295.595449,8928,2643892,1,467,2263665
1507918878.472449,8929,2644626,1,734,2264399
1507922485.573056,8931,2645262,2,636,2265035
1507926077.28086,8931,2645410,0,148,2265174
1507929698.248976,8933,2646158,2,748,2265935
1507933288.92787,8934,2646778,1,620,2266555
1507936888.254693,8935,2647048,1,270,2266821
1507940500.652487,8935,2647864,0,816,2267644
1507944103.611176,8939,2648530,4,666,2268312
1507947710.683622,8941,2649210,2,680,2268993
1507951316.979656,8941,2649988,0,778,2269765
1507954975.203101,8942,2650806,1,818,2270591
1507958448.154257,8945,2651201,3,395,2270987
1507962048.974165,8947,2651521,2,320,2271307
1507965642.976207,8947,2651521,0,0,2271307
1507969248.687425,8947,2651521,0,0,2271307
1507972853.122438,8947,2651768,0,247,2271555
1507976461.006169,8948,2651804,1,36,2271591
1507980072.430127,8948,2651933,0,129,2271720
1507983658.25087,8948,2652109,0,176,2271887
1507987254.921491,8948,2652258,0,149,2272045
1507990860.668658,8948,2652469,0,211,2272256
1507994499.436106,8949,2652717,1,248,2272504
1507998218.554207,8949,2652973,0,256,2272735
1508001667.596011,8949,2653309,0,336,2273097
1508005266.077632,8950,2653624,1,315,2273414
1508008888.240077,8953,2654475,3,851,2274266
1508012479.747105,8955,2655003,2,528,2274794
1508016079.127996,8955,2655342,0,339,2275133
1508019680.933191,8956,2655568,1,226,2275361
1508023279.287302,8958,2655996,2,428,2275790
1508026890.189536,8960,2657024,2,1028,2276816
1508030499.638992,8964,2657989,4,965,2277786
1508034102.725982,8967,2658584,3,595,2278381
1508037698.302893,8968,2659042,1,458,2278839
1508041310.114435,8970,2659557,2,515,2279356
1508048589.005679,8976,2660803,6,1246,2280603
1508052040.924887,8976,2660803,0,0,2280603
1508055639.702199,8976,2660803,0,0,2280603
1508059247.271621,8976,2660903,0,100,2280703
1508062998.376457,8976,2661054,0,151,2280854
1508066457.856135,8977,2661159,1,105,2280959
1508070068.070708,8977,2661224,0,65,2281024
1508073653.698176,8977,2661316,0,92,2281116
1508077264.388275,8978,2661669,1,353,2281455
1508081041.736035,8980,2663166,2,1497,2282810
1508084485.546471,8980,2663972,0,806,2283774
1508088087.802557,8981,2665212,1,1240,2285002
1508091690.337723,8983,2666158,2,946,2285961
1508095306.884685,8986,2667063,3,905,2286868
1508098899.705837,8987,2667584,1,521,2287389
1508102510.015041,8991,2668811,4,1227,2288618
1508106116.928344,8993,2669608,2,797,2289415
1508109779.652121,8996,2670239,3,631,2290047
1508113256.062364,8996,2670396,0,157,2290205
1508116854.394676,8996,2671352,0,956,2291159
1508120460.01333,8998,2672009,2,657,2291822
1508124072.035222,9002,2673231,4,1222,2293044
1508127676.191317,9004,2674009,2,778,2293816
1508131282.234617,9005,2674722,1,713,2294537
1508134877.460247,9006,2675003,1,281,2294818
1508138472.766053,9006,2675003,0,0,2294818
1508142076.304199,9006,2675105,0,102,2294920
1508145677.580589,9007,2675229,1,124,2295044
1508149432.650663,9007,2675276,0,47,2295091
1508152883.556425,9009,2675445,2,169,2295260
1508156488.178715,9010,2675574,1,129,2295389
1508174707.900546,9021,2679693,11,4119,2299396
1508178213.562203,9023,2681173,2,1480,2300995
1508181676.49483,9026,2682634,3,1461,2302456
1508185279.936836,9028,2683771,2,1137,2303596
1508188875.620388,9030,2684334,2,563,2304165
1508192481.531175,9034,2685079,4,745,2304913
1508196100.282456,9038,2686303,4,1224,2306137
1508199707.022605,9043,2687436,5,1133,2307270
1508203320.532948,9049,2688787,6,1351,2308622
1508206915.538266,9053,2689438,4,651,2309274
1508210595.94701,9057,2690952,4,1514,2310779
1508214068.083062,9061,2691924,4,972,2311762
1508217671.081369,9063,2692762,2,838,2312605
1508221269.106828,9064,2692946,1,184,2312789
1508224870.985961,9065,2693239,1,293,2313082
1508228470.137608,9065,2693239,0,0,2313082
1508232070.803737,9065,2693263,0,24,2313102
1508235669.232479,9065,2693431,0,168,2313274
1508239282.721551,9065,2693757,0,326,2313601
1508242892.324043,9066,2694027,1,270,2313859
1508250236.910723,9067,2694572,1,545,2314418
1508257482.13683,9074,2696074,7,1502,2315847
1508260929.630703,9075,2697896,1,1822,2317746
1508264663.157631,9076,2698468,1,572,2318294
1508268115.836799,9078,2698842,2,374,2318694
1508271870.921716,9080,2699165,2,323,2319017
1508275328.05427,9082,2699602,2,437,2319454
1508279133.591902,9084,2700392,2,790,2320246
1508282467.163429,9088,2701137,4,745,2320993
1508286071.714454,9092,2701985,4,848,2321844
1508289673.624761,9093,2702749,1,764,2322609
1508293279.651185,9097,2703519,4,770,2323379
1508296881.461407,9099,2704246,2,727,2324108
1508300480.011364,9101,2704513,2,267,2324375
1508304080.793015,9101,2704796,0,283,2324658
1508307685.852231,9101,2705248,0,452,2325112
1508311287.938662,9103,2705496,2,248,2325360
1508314886.0777,9103,2705611,0,115,2325475
1508318498.135433,9103,2705869,0,258,2325733
1508322105.946964,9104,2705921,1,52,2325785
1508325845.324686,9105,2706019,1,98,2325884
1508329458.139695,9107,2706295,2,276,2326160
1508332913.753655,9108,2706887,1,592,2326755
1508336663.344086,9110,2707123,2,236,2326971
1508340259.595804,9112,2707493,2,370,2327265
1508347499.784189,9116,2709915,4,2422,2329702
1508350982.472562,9119,2710600,3,685,2330470
1508354635.643704,9121,2712043,2,1443,2331918
1508358077.880178,9125,2712909,4,866,2332786
1508361684.527753,9125,2713699,0,790,2333576
1508365295.280023,9129,2714905,4,1206,2334784
1508368898.561819,9131,2715416,2,511,2335296
1508372509.346532,9134,2716969,3,1553,2336852
1508376108.024904,9135,2717746,1,777,2337630
1508379711.338587,9135,2718405,0,659,2338290
1508383320.856827,9136,2719262,1,857,2339147
1508386927.203226,9139,2719954,3,692,2339839
1508390595.00094,9143,2720349,4,395,2340224
1508394055.323377,9143,2720648,0,299,2340533
1508397653.611506,9143,2720832,0,184,2340717
1508401262.404985,9144,2721123,1,291,2341008
1508404853.818222,9145,2721143,1,20,2341028
1508408609.460771,9145,2721171,0,28,2341056
1508412075.304023,9146,2721725,1,554,2341610
1508415667.017979,9146,2721996,0,271,2341881
1508419278.324655,9147,2722930,1,934,2342816
1508423046.994837,9149,2723965,2,1035,2343852
1508430329.547838,9150,2724576,1,611,2344465
1508433872.99126,9153,2726008,3,1432,2345682
1508437320.889158,9154,2727454,1,1446,2347344
